address,auction_date,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,surface_sqm,winner
LEGNANO VIA BRENNERO '6 B,1 Ottobre 2015,ASTA DESERTA,32710.0,02070153,0.0,293/15,esito-01ottobre15.pdf,,
LEGNANO VIA BRENNERO '6 C,1 Ottobre 2015,ASTA DESERTA,44352.0,02070154,0.0,294/15,esito-01ottobre15.pdf,,
LEGNANO VIA BRENNERO '6 D,1 Ottobre 2015,ASTA DESERTA,42134.0,02070184,0.0,295/15,esito-01ottobre15.pdf,,
MAGENTA VIA SAN GIROLAMO EMILIANI '16,1 Ottobre 2015,ASTA DESERTA,50425.0,03210014,0.0,296/15,esito-01ottobre15.pdf,,
NERVIANO VIALE JOHN FITZGERALD KENNEDY '45,1 Ottobre 2015,ASTA DESERTA,50732.0,03440006,0.0,297/15,esito-01ottobre15.pdf,,
MILANO VIA CASCINA CORBA '98,1 Ottobre 2015,AGGIUDICATA,88740.0,09070142,126250.0,298/15,esito-01ottobre15.pdf,,C.R.A.
GORGONZOLA VIA DEI TIGLI '12 A,1 Ottobre 2015,ASTA DESERTA,86940.0,70180023,0.0,299/15,esito-01ottobre15.pdf,,
GORGONZOLA VIA DEI TIGLI '12 B,1 Ottobre 2015,ASTA DESERTA,74088.0,70180038,0.0,300/15,esito-01ottobre15.pdf,,
RHO VIA ANTONIO GRAMSCI '51,1 Ottobre 2015,ASTA DESERTA,85190.0,70370007,0.0,301/15,esito-01ottobre15.pdf,,
PADERNO DUGNANO VIA AURORA '12,1 Ottobre 2015,AGGIUDICATA,53428.0,70410010,60100.0,302/15,esito-01ottobre15.pdf,,S.E.
GARBAGNATE MILANE VIA TICINO '8,1 Ottobre 2015,ASTA DESERTA,67105.0,70840009,0.0,303/15,esito-01ottobre15.pdf,,
71025302 MILANO VIA CAMILLO GIUSSANI '20 A,1 Ottobre 2015,ASTA DESERTA,142823.0,71020302,0.0,304/15,esito-01ottobre15.pdf,,
71025319 MILANO VIA CAMILLO GIUSSANI '20 B,1 Ottobre 2015,AGGIUDICATA,142823.0,71020308,143250.0,305/15,esito-01ottobre15.pdf,,C.G.A.
71025646 MILANO VIA PATERNO' '13,1 Ottobre 2015,AGGIUDICATA,115672.0,71020846,116000.0,306/15,esito-01ottobre15.pdf,,M.R.V.
71035709 MILANO VIA LUCCA '58,1 Ottobre 2015,AGGIUDICATA,121896.0,71031017,146100.0,307/15,esito-01ottobre15.pdf,,A.C.
71035751 MILANO VIA LUCCA '46,1 Ottobre 2015,NON OPTATO,120808.0,71031132,0.0,308/15,esito-01ottobre15.pdf,,
71285055 CANEGRATE VIA BOLOGNA '15,1 Ottobre 2015,ASTA DESERTA,57538.0,71280106,0.0,309/15,esito-01ottobre15.pdf,,
PIOLTELLO VIA GALILEO GALILEI '49,1 Ottobre 2015,ASTA DESERTA,58968.0,71460076,0.0,310/15,esito-01ottobre15.pdf,,
MILANO VIA DESSIE' '15,1 Ottobre 2015,AGGIUDICATA,55404.0,93240013,61700.0,311/15,esito-01ottobre15.pdf,,P.S.
MILANO VIA VAL LAGARINA '34,1 Ottobre 2015,ASTA DESERTA,68539.0,96120401,0.0,312/15,esito-01ottobre15.pdf,,
CORBETTA VIA TRENTO '23,1 Ottobre 2015,ASTA DESERTA,69165.0,99610009,0.0,313/15,esito-01ottobre15.pdf,,
MILANO VIA GIOVANNI PASCOLI '2,25 Luglio 2019,AGGIUDICATA,87912.0,00160047,271555.6,228/19,esito-25luglio19.pdf,,C.D.
MILANO VIA GIOVANNI AMBROGIO DE PREDIS '7,25 Luglio 2019,AGGIUDICATA,70080.0,00230377,144018.0,229/19,esito-25luglio19.pdf,,D.P.
MILANO VIA GIULIO BELINZAGHI '6,25 Luglio 2019,AGGIUDICATA,59126.0,00240033,151000.0,230/19,esito-25luglio19.pdf,,R.E.
MILANO PIAZZALE SELINUNTE '11,25 Luglio 2019,AGGIUDICATA,59568.0,00390199,142100.0,231/19,esito-25luglio19.pdf,,H.I.S.
MILANO VIA DALMAZIO BIRAGO '4,25 Luglio 2019,AGGIUDICATA,62146.0,00410165,146150.0,232/19,esito-25luglio19.pdf,,P.A.
MILANO VIA DALMAZIO BIRAGO '4,25 Luglio 2019,AGGIUDICATA,74799.0,00410171,156990.0,233/19,esito-25luglio19.pdf,,Q.Y.
MILANO VIA LORENTEGGIO '203,25 Luglio 2019,AGGIUDICATA,80028.0,00433872,122630.0,234/19,esito-25luglio19.pdf,,C.V.
MILANO PIAZZA CARDINALE PIETRO GASPARRI '4,25 Luglio 2019,AGGIUDICATA,69632.0,00510882,111000.0,235/19,esito-25luglio19.pdf,,S.G.
MILANO VIA GIACOMO QUARENGHI '34,25 Luglio 2019,AGGIUDICATA,60480.0,00571772,141188.0,236/19,esito-25luglio19.pdf,,L.Y.H.C.
MILANO VIA DEI SALICI '79,25 Luglio 2019,AGGIUDICATA,87774.0,00650666,121000.0,237/19,esito-25luglio19.pdf,,E.Y.G.I.
CESANO BOSCONE VIA DEI SALICI '25,25 Luglio 2019,AGGIUDICATA,87774.0,00650966,121360.0,238/19,esito-25luglio19.pdf,,B.T.A.M.
MILANO VIA COSTANTINO BARONI '238,25 Luglio 2019,AGGIUDICATA,73908.0,00661885,110000.0,239/19,esito-25luglio19.pdf,,R.S.G.A.
