base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,latitude,longitude
,,,,,,005/23,,,,,,,AGGIUDICATA,94613.0,652146.0,161200.0,esito-9marzo2023.pdf,S.K.H.N.,MILANO VIA DELLE BETULLE '5,9 Marzo 2023,,pdf_only,45.5236829,9.3586662
,,,,,,005/24,,,,,,,AGGIUDICATA,101261.0,410539.0,202400.0,esito-15febbraio2024.pdf,L.C.,MILANO VIA ILLIRICO '3,15 Febbraio 2024,57.0,pdf_only,45.4693581,9.2323084
,,,,,,005/25,,,,,,,AGGIUDICATA,101086.0,621053.0,151480.0,esito-13febbraio2025.pdf,I.N.G.Y.,MILANO VIA CONCILIO VATICANO II '1,13 Febbraio 2025,71.0,pdf_only,45.5127581,9.1475663
,,,,,,005/26,,,,,,,AGGIUDICATA,165585.0,433162.0,266990.0,esito-12febbraio2026.pdf,V.M.,MILANO VIA ANGELO INGANNI '64,12 Febbraio 2026,83.0,pdf_only,45.4542629,9.1242734
,,,,,,006/15,,,,,,,OPTATO PER ALTRO LOTTO,74976.0,230657.0,0.0,esito-18febbraio15.pdf,,MILANO VIA JACOPINO DA TRADATE '14,18 Febbraio 2015,,pdf_only,45.4966727,9.1496627
,,,,,,006/16,,,,,,,AGGIUDICATA,53856.0,390247.0,60000.0,esito-11febbraio16.pdf,S.W.B.N.-.N.W.,MILANO PIAZZALE SELINUNTE '11,11 Febbraio 2016,,pdf_only,45.47256,9.1370237
,,,,,,006/17,,,,,,,AGGIUDICATA,101592.0,400029.0,181780.0,esito-08marzo17.pdf,I.G.G.,MILANO VIA ANDREA VERROCCHIO '40,8 Marzo 2017,,pdf_only,45.4741073,9.2195783
50160.0,UOG4,MILANO,G,True,,006/18,,ALLOGGIO,2.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,98,AGGIUDICATA,50160.0,551685.0,80525.0,esito-08marzo18.pdf,D.T.F.,VIA ROMUALDO BONFADINI,08 Marzo 2018,57.0,wayback,45.4441447,9.2447383
,,,,,,006/19,,,,,,,AGGIUDICATA,58464.0,500170.0,91000.0,esito-21febbraio19.pdf,T.B.K.F.,MILANO VIA ORBETELLO '2,21 Febbraio 2019,,pdf_only,45.5025201,9.2456956
,,,,,,006/21,,,,,,,AGGIUDICATA,73700.0,551341.0,130000.0,esito-18febbraio2021.pdf,R.A.R.M.,MILANO VIALE UNGHERIA '2,18 Febbraio 2021,,pdf_only,45.4454916,9.242027
,,,,,,006/22,,,,,,,AGGIUDICATA,94424.0,550204.0,155750.0,esito-17febbraio2022.pdf,G.W.W.B.,MILANO VIALE UNGHERIA '21.4,17 Febbraio 2022,,pdf_only,45.4460873,9.2531847
,,,,,,006/23,,,,,,,AGGIUDICATA,99680.0,664704.0,172000.0,esito-9marzo2023.pdf,H.N.,MILANO VIA COSTANTINO BARONI '69,9 Marzo 2023,,pdf_only,45.4064762,9.1712692
,,,,,,006/24,,,,,,,AGGIUDICATA,139400.0,480033.0,238988.8,esito-15febbraio2024.pdf,C.C.,MILANO VIA MEDEGHINO '24,15 Febbraio 2024,80.0,pdf_only,45.4314808,9.1801371
,,,,,,006/25,,,,,,,ASTA DESERTA,142545.0,652238.0,0.0,esito-13febbraio2025.pdf,,MILANO VIA DEI SALICI '10,13 Febbraio 2025,86.0,pdf_only,45.5969711,8.8875283
,,,,,,006/26,,,,,,,AGGIUDICATA,140760.0,460431.0,178100.0,esito-12febbraio2026.pdf,P.E.,MILANO VIA JACOPINO DA TRADATE '7,12 Febbraio 2026,69.0,pdf_only,45.4966727,9.1496627
,,,,,,007/15,,,,,,,AGGIUDICATA,77088.0,230857.0,85815.0,esito-18febbraio15.pdf,C.N.M.,MILANO PIAZZA PREALPI '4,18 Febbraio 2015,,pdf_only,45.4953597,9.1535242
