address,auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm
VIA GASPARE ASELLI,21 gennaio 2021,115028.0,UOG4,MILANO,G,True,B,192/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'6,77.0
VIA DALMAZIO BIRAGO,21 gennaio 2021,69861.0,UOG4,MILANO,G,False,,193/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'2,53.0
VIA LORENTEGGIO,21 gennaio 2021,69000.0,UOG2,MILANO,G,False,,194/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'201,69.0
VIA LORENTEGGIO,21 gennaio 2021,64000.0,UOG2,MILANO,G,False,,195/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'203,64.0
VIA GIOVANNI AMBROGIO DE PREDIS,21 gennaio 2021,66375.0,UOG3,MILANO,G,False,A,196/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'11,60.0
VIA GIOVANNI AMBROGIO DE PREDIS,21 gennaio 2021,66375.0,UOG3,MILANO,G,False,B,197/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'11,60.0
VIA GIOVANNI AMBROGIO DE PREDIS,21 gennaio 2021,67481.0,UOG3,MILANO,G,False,C,198/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'11,61.0
VIA GIOVANNI AMBROGIO DE PREDIS,21 gennaio 2021,65269.0,UOG3,MILANO,G,False,D,199/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'11,59.0
VIA ORBETELLO,21 gennaio 2021,66990.0,UOG4,MILANO,G,False,A,200/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'4,66.0
VIA ORBETELLO,21 gennaio 2021,84245.0,UOG4,MILANO,G,False,B,201/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'4,83.0
VIA ESCULAPIO,21 gennaio 2021,101794.0,UOG3,MILANO,G,True,,202/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'4,89.0
PIAZZA CARDINALE PIETRO GASPARRI,21 gennaio 2021,68625.0,UOG3,MILANO,G,False,,203/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'4,60.0
VIA GIACOMO QUARENGHI,21 gennaio 2021,69300.0,UOG3,MILANO,G,True,,204/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'8,63.0
VIA CONCILIO VATICANO II,21 gennaio 2021,68600.0,UOG3,MILANO,G,True,,205/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'1,70.0
VIA DEI SALICI,21 gennaio 2021,70800.0,UOG2,MILANO,G,True,,206/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'59,64.0
VIA FRANCESCO CILEA,21 gennaio 2021,88000.0,UOG3,MILANO,E,True,,207/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'58,83.0
VIA FRANCESCO CILEA,21 gennaio 2021,84700.0,UOG3,MILANO,G,True,,208/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'130,77.0
VIA AGOSTINO DE PRETIS,21 gennaio 2021,101430.0,UOG1,MILANO,G,True,,209/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'87,84.0
VIA PADRE REGINALDO GIULIANI,21 gennaio 2021,50400.0,UOGR,LEGNANO,G,False,,210/20,PIENA PROP.,ALLOGGIO,2,20210105111556.html,'40,72.0
VIA CARLO AMORETTI,21 gennaio 2021,93375.0,UOG3,MILANO,G,True,,211/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'15,83.0
VIA LONGARONE,21 gennaio 2021,120375.0,UOG3,MILANO,G,True,,212/20,PIENA PROP.,ALLOGGIO,4,20210105111556.html,'33,107.0
VIA RAFFAELLO GIOLLI,21 gennaio 2021,186048.0,UOG3,MILANO,G,True,,213/20,PIENA PROP.,ALLOGGIO,5,20210105111556.html,'21,136.0
VIA POSTUMIA,21 gennaio 2021,153938.0,UOG2,MILANO,G,True,,214/20,PIENA PROP.,ALLOGGIO,4,20210105111556.html,'24,134.0
VIA BENJAMIN CONSTANT,21 gennaio 2021,153938.0,UOG2,MILANO,NO,False,,214/20,PIENA PROP.,AUTOBOX,0,20210105111556.html,'22.A,12.0
VIA CARLO MARX,21 gennaio 2021,146794.0,UOG2,MILANO,G,True,,215/20,PIENA PROP.,ALLOGGIO,4,20210105111556.html,'12,127.0
VIA CARLO MARX,21 gennaio 2021,146794.0,UOG2,MILANO,NO,False,,215/20,PIENA PROP.,AUTOBOX,0,20210105111556.html,'3.A,12.0
VIA HARAR,21 gennaio 2021,84000.0,UOG2,MILANO,G,True,,216/20,PIENA PROP.,ALLOGGIO,3,20210105111556.html,'7,75.0
VIA GASPARE ASELLI,20 Maggio 2021,141918.0,UOG4,MILANO,G,False,,084/21,PIENA PROP.,ALLOGGIO,4,20210512011249.html,'6,95.0
VIA LORENTEGGIO,20 Maggio 2021,64000.0,UOG2,MILANO,F,False,,085/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'201,64.0
VIA GIOVANNI AMBROGIO DE PREDIS,20 Maggio 2021,63056.0,UOG3,MILANO,G,False,,086/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'11,57.0
