address,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,winner
RHO VIA ALDO MORO '11 A,ASTA DESERTA,64960.0,16640026,0.0,042/19,esito-21febbraio19.pdf,
RHO VIA ALDO MORO '11 B,ASTA DESERTA,63104.0,16640034,0.0,043/19,esito-21febbraio19.pdf,
MILANO VIA BELTRAME CRISTIANI '21,AGGIUDICATA,159384.0,70590534,268889.0,044/19,esito-21febbraio19.pdf,Y.X.
71025148 MILANO VIA CAMILLO GIUSSANI '17,AGGIUDICATA,119580.0,71020148,177000.0,045/19,esito-21febbraio19.pdf,A.M.N.B.K.
71025930 MILANO VIA PATERNO' '7,AGGIUDICATA,163356.0,71020730,195160.0,046/19,esito-21febbraio19.pdf,M.F.M.
PIOLTELLO VIA GALILEO GALILEI '49,ASTA DESERTA,132704.0,71460088,0.0,047/19,esito-21febbraio19.pdf,
MILANO VIA VAL LAGARINA '87,AGGIUDICATA,118320.0,96120336,128000.0,048/19,esito-21febbraio19.pdf,T.H.S.R.S.
SESTO SAN GIOVANNI VIA SAVONA '80,AGGIUDICATA,89623.0,99690079,100000.0,049/19,esito-21febbraio19.pdf,H.E.H.E.
MILANO PIAZZA PREALPI '4,AGGIUDICATA,73200.0,00230926,156600.0,001/22,esito-17febbraio2022.pdf,P.M.
MILANO VIA ILLIRICO '3 A,AGGIUDICATA,71706.0,00410538,103635.0,002/22,esito-17febbraio2022.pdf,C.F.
MILANO VIA ILLIRICO '3 B,AGGIUDICATA,74518.0,00410584,172760.0,003/22,esito-17febbraio2022.pdf,P.I.-.V.P.
MILANO VIA JACOPINO DA TRADATE '7,AGGIUDICATA,117806.0,00460410,210000.0,004/22,esito-17febbraio2022.pdf,H.X.
MILANO VIALE OMERO '19,AGGIUDICATA,64904.0,00470486,91000.0,005/22,esito-17febbraio2022.pdf,S.N.A.A.
MILANO VIALE UNGHERIA '21.4,AGGIUDICATA,94424.0,00550204,155750.0,006/22,esito-17febbraio2022.pdf,G.W.W.B.
MILANO VIA GIACOMO QUARENGHI '32,AGGIUDICATA,131040.0,00571987,241000.0,007/22,esito-17febbraio2022.pdf,M.M.A.
MILANO VIA DEGLI IPPOCASTANI '4,AGGIUDICATA,114188.0,00652348,165650.0,008/22,esito-17febbraio2022.pdf,Z.B.R.G.-.Z.R.R.G.
