auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,latitude,longitude
27 Novembre 2025,171570.0,UOG3,MILANO,B,True,,187/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'9,86.0,AGGIUDICATA,171570.0,99340107.0,250900.0,esito-27novembre2025.pdf,S.Z.,VIA URUGUAY,45.4957884,9.122368
27 Novembre 2025,124823.0,UOGE,SESTO SAN GIOVANNI,F,False,,188/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'16,89.0,AGGIUDICATA,124823.0,99690132.0,165000.0,esito-27novembre2025.pdf,T.P.,VIA SAVONA,45.5319587,9.2536756
01 febbraio 2018,68400.0,UOG4,MILANO,G,False,,320/17,,ALLOGGIO,2.0,20180110020919.html,2,50.0,AGGIUDICATA,68400.0,280530.0,108000.0,esito-01febbraio18.pdf,R.S.,PIAZZA ANDREA FUSINA,45.46895960000001,9.2304629
01 febbraio 2018,33075.0,UOG2,MILANO,G,False,,321/17,,ALLOGGIO,2.0,20180110020919.html,1,38.0,AGGIUDICATA,33075.0,340682.0,42640.0,esito-01febbraio18.pdf,G.L.,VIA FILIPPO ABBIATI,45.4727813,9.1414665
01 febbraio 2018,54461.0,UOG3,MILANO,G,False,,322/17,,ALLOGGIO,2.0,20180110020919.html,4,61.0,AGGIUDICATA,54461.0,510849.0,86000.0,esito-01febbraio18.pdf,A.E.M.M.,PIAZZA CARDINALE PIETRO GASPARRI,45.5253373,9.1638235
01 febbraio 2018,71280.0,UOG4,MILANO,G,True,,323/17,,ALLOGGIO,3.0,20180110020919.html,94,72.0,AGGIUDICATA,71280.0,551615.0,86500.0,esito-01febbraio18.pdf,G.M.,VIA ROMUALDO BONFADINI,45.4443423,9.242782300000002
01 febbraio 2018,73260.0,UOG4,MILANO,G,True,,324/17,,ALLOGGIO,3.0,20180110020919.html,10,74.0,AGGIUDICATA,73260.0,552036.0,105780.0,esito-01febbraio18.pdf,H.G.,VIA LUIGI SORDELLO,45.44355059999999,9.2438867
01 febbraio 2018,60390.0,UOG4,MILANO,G,True,,325/17,,ALLOGGIO,2.0,20180110020919.html,98,61.0,AGGIUDICATA,60390.0,553252.0,87650.0,esito-01febbraio18.pdf,A.S.S.R.,VIA ROMUALDO BONFADINI,45.4441447,9.2447383
01 febbraio 2018,93177.0,UOG2,MILANO,G,True,,326/17,,ALLOGGIO,3.0,20180110020919.html,41,87.0,AGGIUDICATA,93177.0,650613.0,107000.0,esito-01febbraio18.pdf,M.B.,VIA DEI SALICI,45.452355,9.079362999999999
01 febbraio 2018,109242.0,UOG2,MILANO,G,True,,327/17,,ALLOGGIO,4.0,20180110020919.html,75,102.0,AGGIUDICATA,109242.0,650689.0,121000.0,esito-01febbraio18.pdf,T.E.,VIA DEI SALICI,45.4530155,9.0791443
01 febbraio 2018,84320.0,UOGR,ROZZANO,G,True,,328/17,,ALLOGGIO,3.0,20180110020919.html,4,85.0,AGGIUDICATA,84320.0,672688.0,91100.0,esito-01febbraio18.pdf,M.K.M.S.A.,VIA BETULLE,45.3810485,9.1575395
01 febbraio 2018,84320.0,UOGR,ROZZANO,G,True,,329/17,,ALLOGGIO,3.0,20180110020919.html,3,85.0,ASTA DESERTA,84320.0,673859.0,0.0,esito-01febbraio18.pdf,,VIA LILLA',45.3806134,9.1587827
01 febbraio 2018,59119.0,UOG3,MILANO,G,True,,330/17,,ALLOGGIO,2.0,20180110020919.html,37,69.0,AGGIUDICATA,59119.0,700888.0,65580.0,esito-01febbraio18.pdf,G.E.N.H.A.,VIA FILIPPO DE PISIS,45.5118186,9.1431814
01 febbraio 2018,69401.0,UOG3,MILANO,G,True,,331/17,,ALLOGGIO,3.0,20180110020919.html,39,81.0,AGGIUDICATA,69401.0,700903.0,88000.0,esito-01febbraio18.pdf,L.N.,VIA FILIPPO DE PISIS,45.511974,9.143129799999999
01 febbraio 2018,57406.0,UOG3,MILANO,G,True,,332/17,,ALLOGGIO,2.0,20180110020919.html,45,67.0,AGGIUDICATA,57406.0,700949.0,64100.0,esito-01febbraio18.pdf,M.A.H.M.,VIA FILIPPO DE PISIS,45.5126068,9.1429496
01 febbraio 2018,62286.0,UOGR,CORSICO,G,True,A,333/17,,ALLOGGIO,2.0,20180110020919.html,25,69.0,AGGIUDICATA,62286.0,740314.0,66250.0,esito-01febbraio18.pdf,M.L.,VIA EUGENIO CURIEL,45.440744,9.0935369
01 febbraio 2018,62286.0,UOGR,CORSICO,G,True,B,334/17,,ALLOGGIO,2.0,20180110020919.html,25,69.0,AGGIUDICATA,62286.0,740316.0,0.0,esito-01febbraio18.pdf,N.O.,VIA EUGENIO CURIEL,45.440744,9.0935369
01 febbraio 2018,125528.0,UOG1,MILANO,D,True,,335/17,,ALLOGGIO,4.0,20180110020919.html,1,104.0,ASTA DESERTA,125528.0,750201.0,0.0,esito-01febbraio18.pdf,,VIA AGOSTINO DE PRETIS,45.4318665,9.153686100000002
01 febbraio 2018,84490.0,UOG1,MILANO,D,True,,336/17,,ALLOGGIO,2.0,20180110020919.html,9,70.0,AGGIUDICATA,84490.0,750268.0,85000.0,esito-01febbraio18.pdf,W.Y.W.F.,VIA AGOSTINO DE PRETIS,45.43134,9.15347
01 febbraio 2018,59405.0,UOG2,MILANO,F,True,,337/17,,ALLOGGIO,2.0,20180110020919.html,1,52.0,AGGIUDICATA,59405.0,1120020.0,83000.0,esito-01febbraio18.pdf,A.E.M.M.,VIA DEGLI ANEMONI,45.4550638,9.1321167
01 febbraio 2018,99389.0,UOG2,MILANO,F,True,,338/17,,ALLOGGIO,3.0,20180110020919.html,5,87.0,AGGIUDICATA,99389.0,1120036.0,137689.2,esito-01febbraio18.pdf,P.A.,VIA DEGLI ANEMONI,45.4544934,9.131609899999999
01 febbraio 2018,62832.0,UOG3,MILANO,G,True,,339/17,,ALLOGGIO,2.0,20180110020919.html,107,66.0,AGGIUDICATA,62832.0,1510062.0,105700.0,esito-01febbraio18.pdf,B.A.,VIA MAC MAHON,45.4961297,9.1545433
01 febbraio 2018,33768.0,UOGR,LEGNANO,SENZA IMPIANTO,False,A,340/17,,ALLOGGIO,2.0,20180110020919.html,42,67.0,ASTA DESERTA,33768.0,2070039.0,0.0,esito-01febbraio18.pdf,,VIA PADRE REGINALDO GIULIANI,45.6061966,8.914538799999999
01 febbraio 2018,32760.0,UOGR,LEGNANO,SENZA IMPIANTO,False,B,341/17,,ALLOGGIO,2.0,20180110020919.html,42,65.0,ASTA DESERTA,32760.0,2070051.0,0.0,esito-01febbraio18.pdf,,VIA PADRE REGINALDO GIULIANI,45.6061966,8.914538799999999
