auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
20 Maggio 2021,105053.0,UOG1,MILANO,G,True,,102/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'109,87.0,AGGIUDICATA,105053.0,750445.0,146000.0,esito-20maggio2021.pdf,A.G.K.Z.,VIA AGOSTINO DE PRETIS,45.4297124,9.1570181,11,0.3897746851589198,1207.5057471264367,1678.16091954023
20 Maggio 2021,120678.0,UOG1,MILANO,G,True,,103/21,PIENA PROP.,ALLOGGIO,3.0,20210512011249.html,'59,87.0,AGGIUDICATA,120678.0,750666.0,156000.0,esito-20maggio2021.pdf,E.N.W.I.,VIA AGOSTINO DE PRETIS,45.4285203,9.1511027,11,0.29269626609655447,1387.103448275862,1793.103448275862
20 Maggio 2021,120678.0,UOG1,MILANO,NO,False,,103/21,PIENA PROP.,AUTOBOX,0.0,20210512011249.html,'65,25.0,AGGIUDICATA,120678.0,750666.0,156000.0,esito-20maggio2021.pdf,E.N.W.I.,VIA AGOSTINO DE PRETIS,45.428653,9.1516338,11,0.29269626609655447,4827.12,6240.0
20 Maggio 2021,42840.0,UOGR,LEGNANO,G,False,,104/21,PIENA PROP.,ALLOGGIO,2.0,20210512011249.html,'40,72.0,AGGIUDICATA,42840.0,2070080.0,44300.0,esito-20maggio2021.pdf,S.M.A.A.,VIA PADRE REGINALDO GIULIANI,45.6057789,8.9149162,0,0.034080298786181136,595.0,615.2777777777778
20 Maggio 2021,79931.0,UOG2,MILANO,G,True,,105/21,PIENA PROP.,ALLOGGIO,2.0,20210512011249.html,'3,70.0,AGGIUDICATA,79931.0,9010161.0,181740.0,esito-20maggio2021.pdf,G.N.-.S.A.,VIA DELLE GENZIANE,45.453181,9.1276225,16,1.27371107580288,1141.8714285714286,2596.285714285714
20 Maggio 2021,114359.0,UOGS,GORGONZOLA,F,True,,106/21,PIENA PROP.,ALLOGGIO,4.0,20210512011249.html,'12,124.0,ASTA DESERTA,114359.0,70180037.0,0.0,esito-20maggio2021.pdf,,VIA DEI TIGLI,45.5268619,9.408452,-1,-1.0,922.25,0.0
20 Maggio 2021,131355.0,UOGS,RHO,F,True,,107/21,PIENA PROP.,ALLOGGIO,5.0,20210512011249.html,'51,139.0,ASTA DESERTA,131355.0,70370009.0,0.0,esito-20maggio2021.pdf,,VIA ANTONIO GRAMSCI,45.5396588,9.025942,0,-1.0,945.0,0.0
20 Maggio 2021,152076.0,UOG1,MILANO,F,True,,108/21,PIENA PROP.,ALLOGGIO,4.0,20210512011249.html,'5,116.0,AGGIUDICATA,152076.0,71020977.0,205750.0,esito-20maggio2021.pdf,K.V.,VIA ALBERTO PEPERE,45.4396598,9.1387273,15,0.35294195007759277,1311.0,1773.7068965517242
06 Luglio 2017,36480.0,3,MILANO,G,False,,146/17,,,2.0,20170705084616.html,14,38.0,AGGIUDICATA,36480.0,230636.0,47500.0,esito-06luglio17.pdf,G.R.,VIA JACOPINO DA TRADATE,45.4958111,9.1513064,12,0.3020833333333333,960.0,1250.0
06 Luglio 2017,115872.0,4,MILANO,G,False,,147/17,,,2.0,20170705084616.html,74,70.0,AGGIUDICATA,115872.0,251101.0,181684.0,esito-06luglio17.pdf,P.R.,VIALE TIBALDI,45.4453658,9.1870317,-1,0.5679715548191108,1655.3142857142857,2595.4857142857145
