base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
54560.0,UOG4,MILANO,G,True,,007/18,,ALLOGGIO,2.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,94,AGGIUDICATA,54560.0,553381.0,81700.0,esito-08marzo18.pdf,A.M.,VIA ROMUALDO BONFADINI,08 Marzo 2018,62.0,wayback,45.4443423,9.242782300000002,24,0.4974340175953079,880.0,1317.741935483871
,,,,,,007/19,,,,,,,AGGIUDICATA,60416.0,510284.0,83000.0,esito-21febbraio19.pdf,K.K.,MILANO VIA TEANO '36,21 Febbraio 2019,,pdf_only,45.5287212,9.1581586,-1,0.3738082627118644,,
,,,,,,007/21,,,,,,,AGGIUDICATA,82748.0,650070.0,120100.0,esito-18febbraio2021.pdf,E.A.S.K.,MILANO VIA DEGLI ONTANI '30,18 Febbraio 2021,,pdf_only,45.4543484,9.0790826,35,0.45139459563977374,,
,,,,,,007/22,,,,,,,AGGIUDICATA,131040.0,571987.0,241000.0,esito-17febbraio2022.pdf,M.M.A.,MILANO VIA GIACOMO QUARENGHI '32,17 Febbraio 2022,,pdf_only,45.498168,9.1148403,-1,0.8391330891330891,,
,,,,,,007/23,,,,,,,AGGIUDICATA,105280.0,666423.0,201000.0,esito-9marzo2023.pdf,B.M.,MILANO VIA MICHELE SAPONARO '24,9 Marzo 2023,,pdf_only,45.408712,9.1736211,5,0.90919452887538,,
,,,,,,007/24,,,,,,,AGGIUDICATA,96815.0,500086.0,174414.0,esito-15febbraio2024.pdf,P.A.,MILANO VIA ORBETELLO '2,15 Febbraio 2024,67.0,pdf_only,45.5025201,9.2456956,14,0.8015183597583019,1445.0,2603.194029850746
,,,,,,007/25,,,,,,,AGGIUDICATA,108800.0,672663.0,165110.0,esito-13febbraio2025.pdf,I.K.S.E.,ROZZANO VIA BETULLE '2,13 Febbraio 2025,85.0,pdf_only,45.3809794,9.1577351,4,0.5175551470588236,1280.0,1942.4705882352941
,,,,,,007/26,,,,,,,AGGIUDICATA,161263.0,470450.0,171263.2,esito-12febbraio2026.pdf,T.S.,MILANO VIALE OMERO '19,12 Febbraio 2026,70.0,pdf_only,45.4331057,9.2246652,15,0.062011744789567426,2303.7571428571428,2446.617142857143
,,,,,,008/15,,,,,,,AGGIUDICATA,53990.0,250035.0,77770.0,esito-18febbraio15.pdf,C.A.,MILANO VIALE TIBALDI '66,18 Febbraio 2015,,pdf_only,45.4449749,9.1857371,9,0.44045193554361917,,
,,,,,,008/16,,,,,,,AGGIUDICATA,38890.0,410430.0,51120.0,esito-11febbraio16.pdf,B.C.-.M.J.,MILANO VIA ILLIRICO '1 A,11 Febbraio 2016,,pdf_only,45.4697051,9.2324398,42,0.31447672923630754,,
,,,,,,008/17,,,,,,,AGGIUDICATA,51040.0,550630.0,65840.0,esito-08marzo17.pdf,F.A.,MILANO VIALE UNGHERIA '19 A,8 Marzo 2017,,pdf_only,45.4457187,9.2440217,24,0.28996865203761757,,
85888.0,UOG2,MILANO,G,True,,008/18,,ALLOGGIO,3.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,75,ASTA DESERTA,85888.0,650692.0,0.0,esito-08marzo18.pdf,,VIA DEI SALICI,08 Marzo 2018,88.0,wayback,45.4530155,9.0791443,34,-1.0,976.0,0.0
,,,,,,008/19,,,,,,,AGGIUDICATA,80896.0,510544.0,116800.0,esito-21febbraio19.pdf,L.A.,MILANO VIA ESCULAPIO '4 A,21 Febbraio 2019,,pdf_only,45.524645,9.1619134,48,0.4438291139240506,,
,,,,,,008/21,,,,,,,AGGIUDICATA,96075.0,690462.0,142560.0,esito-18febbraio2021.pdf,R.R.J.-.R.E.R.,MILANO VIA ALESSANDRO LITTA MODIGNANI '109,18 Febbraio 2021,,pdf_only,45.5211404,9.1512971,33,0.48384074941451993,,
,,,,,,008/22,,,,,,,AGGIUDICATA,114188.0,652348.0,165650.0,esito-17febbraio2022.pdf,Z.B.R.G.-.Z.R.R.G.,MILANO VIA DEGLI IPPOCASTANI '4,17 Febbraio 2022,,pdf_only,45.4512643,9.0817606,-1,0.45067782954426033,,
,,,,,,008/23,,,,,,,AGGIUDICATA,103040.0,666473.0,160000.0,esito-9marzo2023.pdf,Z.D.R.H.,MILANO VIA MICHELE SAPONARO '24,9 Marzo 2023,,pdf_only,45.408712,9.1736211,5,0.5527950310559007,,
,,,,,,008/24,,,,,,,AGGIUDICATA,104520.0,510520.0,181800.0,esito-15febbraio2024.pdf,N.J.,MILANO VIA ESCULAPIO '4,15 Febbraio 2024,78.0,pdf_only,45.5249722,9.1625513,48,0.7393800229621125,1340.0,2330.769230769231
,,,,,,008/25,,,,,,,AGGIUDICATA,135235.0,690394.0,186666.0,esito-13febbraio2025.pdf,H.X.,MILANO VIA ALESSANDRO LITTA MODIGNANI '105,13 Febbraio 2025,86.0,pdf_only,45.5223492,9.1574653,32,0.3803083521277776,1572.5,2170.5348837209303
,,,,,,008/26,,,,,,,AGGIUDICATA,136052.0,500211.0,163700.0,esito-12febbraio2026.pdf,H.Y.,MILANO VIA ORBETELLO '4,12 Febbraio 2026,67.0,pdf_only,45.5021152,9.246326,14,0.20321641725222708,2030.6268656716418,2443.283582089552
,,,,,,009/15,,,,,,,AGGIUDICATA,81210.0,280390.0,151510.0,esito-18febbraio15.pdf,B.A.,MILANO VIA GASPARE ASELLI '18,18 Febbraio 2015,,pdf_only,45.4706867,9.230349,-1,0.8656569388006403,,
